RespondentID,Persona,Age,Gender,MaritalStatus,CityTier,Education,NumDependents,EmploymentStatus,YearsEmployed,AnnualIncome_INR,IncomeStability,SecondaryIncome_INR,SavingsPct_Monthly,SavingsBalance_INR,SpendingPattern,CreditUtilization,UPI_TxnMonthly,HasCreditCard,AppBasedLoan,PrimaryLoanType,LoanPurpose_New,LoanAmountSought,LoanTermMonths,ExistingDebt_INR,MonthlyEMI_INR,DebtToIncomeRatio,CreditHistoryYears,NumCreditAccounts,NumHardInquiries,MissedPayments,Bankruptcies,RepaymentHistory,HasProperty,HasVehicle,InvestmentValue_INR,EmergencyFundMonths,RiskTolerance,FinLiteracyScore,HasFinancialPlan,IncomeShockLast3Yr,FamilyBurdenScore,CreditScore,LoanApproved,MarketingSegment,ApprovalProbability
IND00011,Gig_Worker,54,Male,Married,Tier2,Graduate,3,Self_Employed,4,87150.0,Seasonal,0.0,17.092042735230816,31330.0,Overspend,0.6537,54,1,1,None,Vehicle,249000.0,48,2542.0,53.0,0.0292,28,4,1,3,0,Poor,0,1,0.0,0.0,High,5.5,1,0,0.45,457,0,AtRisk,0.2678
IND00012,Homemaker,25,Female,Single,Tier2,10th_12th,4,Homemaker,0,10377.0,Stable,25685.0,13.064399415712684,4498.0,Well_within,0.3346,25,1,0,Personal_Loan,NA,1675000.0,60,62211.0,1047.0,5.9945,0,3,3,4,0,Good,1,1,6213.0,1.0,Low,8.6,1,0,0.6,462,0,AtRisk,0.2452
IND00013,Urban_Salaried,56,Other,Single,Tier2,Postgraduate,1,Salaried_Private,4,140695.0,Seasonal,2253.0,32.37696251029524,210671.0,Well_within,0.1437,56,1,0,Home_Loan,Business,765000.0,24,281275.0,11837.0,1.9992,23,2,1,1,0,Excellent,1,0,7349.0,5.9,Medium,6.8,0,0,0.15,616,1,Emerging,0.4858
IND00014,MSME_Owner,45,Female,Married,Tier2,Graduate,2,Business_Owner,2,89774.0,Stable,16684.0,19.741162040728668,52223.0,Well_within,0.2512,30,1,1,Business_Loan,Education,631000.0,48,11707.0,246.0,0.1304,23,4,2,2,0,Excellent,0,1,0.0,2.5,Medium,6.8,0,1,0.6,595,1,Emerging,0.5546
IND00015,Urban_Salaried,44,Male,Married,Tier1,Postgraduate,3,Salaried_Private,17,82963.0,Stable,16485.0,12.531941975187436,20807.0,Overspend,0.9198,36,1,0,Education_Loan,Home,240000.0,24,14721.0,620.0,0.1774,0,4,2,0,0,Good,0,1,0.0,1.2,High,2.1,1,0,0.45,507,0,Emerging,0.4656
IND00016,Rural_Farmer,42,Female,Single,Tier3,10th_12th,3,Self_Employed,8,34828.0,Seasonal,12580.0,24.687663242973183,9847.0,Borderline,0.39,11,0,1,Home_Loan,Personal,334000.0,180,3326.0,19.0,0.0955,15,4,1,0,0,Fair,0,1,0.0,2.9,Low,6.4,1,0,0.45,522,0,AtRisk,0.3391
IND00017,MSME_Owner,32,Male,Married,Tier1,Graduate,1,Business_Owner,28,226418.0,Seasonal,43871.0,4.892223226744786,34026.0,Borderline,0.4367,25,0,0,Home_Loan,Business,457000.0,180,19339.0,109.0,0.0854,8,1,2,0,0,Excellent,0,0,0.0,4.1,Medium,6.5,0,0,0.15,578,1,Prime,0.7385
IND00018,Retired_Govt,57,Male,Married,Tier3,Postgraduate,2,Retired,35,60839.0,Stable,21433.0,23.4501763190496,27252.0,Just_right,0.3949,11,0,0,Gold_Loan,Education,322000.0,48,8632.0,182.0,0.1419,8,7,1,0,0,Fair,1,1,99915.0,3.2,Low,5.4,0,0,0.3,548,0,Emerging,0.4727
IND00019,Rural_Farmer,49,Male,Married,Rural,Below10th,3,Self_Employed,24,33972.0,Seasonal,14304.0,17.724632964140696,24193.0,Well_within,0.1346,9,0,1,Education_Loan,Vehicle,209000.0,12,84632.0,7123.0,2.4912,3,3,4,0,1,Fair,0,1,0.0,2.3,Medium,9.6,0,0,0.45,377,0,AtRisk,0.1949
IND00020,Urban_Salaried,29,Female,Divorced,Tier1,Postgraduate,2,Salaried_Private,25,111962.0,Stable,0.0,16.43898024805712,49152.0,Borderline,0.2585,42,1,0,Business_Loan,Education,2683000.0,24,51127.0,2152.0,0.4566,3,1,2,3,0,Fair,0,0,0.0,3.1,High,6.6,1,0,0.3,515,0,Emerging,0.4211
IND00021,MSME_Owner,56,Female,Married,Tier1,Graduate,3,Business_Owner,3,32709.0,Stable,0.0,7.976959932974752,9533.0,Well_within,0.4801,30,0,0,Business_Loan,Home,270000.0,120,34950.0,294.0,1.0685,14,5,3,1,0,Poor,1,1,14612.0,0.1,Medium,8.5,1,1,0.75,437,0,AtRisk,0.3247
IND00022,Retired_Govt,63,Male,Married,Tier1,Postgraduate,1,Retired,38,51771.0,Stable,47708.0,20.23190952693293,38430.0,Just_right,0.2575,22,0,0,Personal_Loan,Personal,2028000.0,60,13705.0,231.0,0.2647,15,5,3,0,0,Good,1,0,9100.0,5.0,Medium,4.2,1,0,0.15,564,1,Emerging,0.5171
IND00023,Gig_Worker,56,Female,Married,Tier1,Graduate,2,Self_Employed,5,318654.1291688319,Seasonal,8579.0,14.688675600217625,33751.0,Well_within,0.314,45,1,1,Personal_Loan,Education,358000.0,120,17419.0,147.0,0.3701,12,7,4,0,0,Good,1,0,15015.0,2.1,Low,5.6,0,1,0.6,585,1,Prime,0.6229
IND00024,Urban_Salaried,47,Male,Married,Tier1,Postgraduate,2,Salaried_Private,7,159429.0,Stable,13177.0,29.556380863677987,114593.0,Well_within,0.1526,26,0,0,Home_Loan,NA,121000.0,12,14649.0,1233.0,0.0919,0,4,2,3,0,Good,0,0,0.0,2.3,Medium,2.8,0,1,0.6,513,1,Emerging,0.5501
IND00025,Retired_Govt,61,Male,Married,Tier2,Graduate,5,Retired,38,67338.0,Stable,0.0,19.833563207370105,46140.0,Borderline,0.2127,22,1,0,Personal_Loan,Personal,45000.0,120,82058.0,691.0,1.2186,11,4,2,0,0,Fair,1,0,13200.0,5.3,Medium,6.3,0,0,0.75,521,0,Emerging,0.4141
IND00026,Retired_Govt,64,Female,Single,Tier1,Postgraduate,2,Retired,38,87380.0,Stable,6368.0,15.849350070215788,47669.0,Overspend,0.6325,31,1,0,Home_Loan,Business,1202000.0,60,94692.0,1594.0,1.0837,30,2,4,0,0,Excellent,1,1,10747.0,1.6,Medium,1.9,1,0,0.3,594,1,Emerging,0.5737
IND00027,Urban_Salaried,22,Other,Married,Tier1,Graduate,0,Salaried_Private,13,154214.0,Stable,19218.0,24.48272496023201,166590.0,Well_within,0.1322,44,1,1,Business_Loan,Education,131000.0,60,142839.0,2404.0,0.9262,0,2,4,1,2,Fair,1,1,8030.0,2.5,Medium,7.1,0,0,0.0,347,0,AtRisk,0.2337
IND00028,Gig_Worker,24,Male,Married,Tier3,Graduate,2,Self_Employed,2,69048.0,Stable,4994.0,14.766929880237798,17364.0,Just_right,0.4829,14,1,0,Car_Loan,Education,244000.0,36,3056.0,86.0,0.0443,0,2,2,2,1,Fair,0,1,0.0,0.7,Medium,5.9,0,0,0.3,370,0,AtRisk,0.283
IND00029,Urban_Salaried,25,Female,Single,Tier1,Graduate,2,Salaried_Private,11,128290.0,Unstable,0.0,29.26294479720657,170290.0,Well_within,0.2721,51,0,1,BNPL,Home,56000.0,36,27573.0,774.0,0.2149,3,2,0,1,0,Excellent,1,1,8118.0,4.0,High,3.3,1,1,0.6,558,1,Prime,0.6395
IND00030,Urban_Salaried,34,Female,Married,Tier1,Postgraduate,3,Salaried_Private,20,98282.0,Stable,37256.0,28.095147836751536,104375.0,Borderline,0.3401,52,1,0,Business_Loan,Personal,365000.0,60,50508.0,850.0,0.5139,1,4,4,2,0,Excellent,1,0,6535.0,5.1,Medium,4.7,0,0,0.45,542,1,Emerging,0.5425
IND00031,Rural_Farmer,44,Male,Married,Tier3,Below10th,3,Self_Employed,8,73646.0,Unstable,6327.0,11.333550243033748,10556.0,Just_right,0.4949,13,1,1,Education_Loan,Personal,262000.0,240,16193.0,68.0,0.2199,7,1,1,3,0,Poor,0,1,0.0,3.8,Medium,4.1,1,0,0.45,424,0,AtRisk,0.2568
IND00032,Retired_Govt,58,Male,Divorced,Rural,Graduate,3,Retired,28,63567.0,Stable,0.0,9.488787049727875,28623.0,Borderline,0.4529,6,1,0,Gold_Loan,Vehicle,176000.0,48,109645.0,2307.0,1.7248,30,2,3,1,0,Excellent,0,0,0.0,2.2,Medium,6.2,0,0,0.45,577,0,Emerging,0.3971
IND00033,Gig_Worker,47,Female,Married,Tier2,Graduate,0,Self_Employed,11,56351.0,Unstable,43159.0,9.766669477801736,18723.0,Borderline,0.4293,37,1,0,BNPL,Home,953000.0,180,27369.0,154.0,0.4857,11,1,1,2,0,Fair,1,1,7493.0,0.2,Medium,7.4,0,0,0.0,487,0,Emerging,0.3928
IND00034,Homemaker,23,Male,Single,Tier3,10th_12th,6,Homemaker,0,9991.0,Stable,12541.0,11.29301268107617,2201.0,Just_right,0.5298,15,1,1,Home_Loan,NA,180000.0,180,266288.0,1494.0,6.0,1,1,2,2,0,Good,0,0,0.0,2.5,High,3.1,0,0,0.9,467,0,AtRisk,0.2436
IND00035,Urban_Salaried,47,Female,Married,Tier1,Postgraduate,2,Salaried_Private,2,71669.0,Stable,12941.0,25.13141419742734,70010.0,Just_right,0.2665,41,0,1,Gold_Loan,Medical,670000.0,120,497940.0,4191.0,6.0,24,2,0,0,0,Poor,1,0,18661.0,4.5,Medium,4.0,0,0,0.3,523,0,AtRisk,0.3562
IND00036,Rural_Farmer,44,Female,Married,Rural,10th_12th,3,Self_Employed,9,31288.0,Unstable,0.0,20.72770770870737,25853.0,Just_right,0.3328,4,1,0,Personal_Loan,Vehicle,474000.0,120,214453.0,1805.0,6.0,5,3,4,5,0,Good,1,1,84126.0,1.8,Medium,6.3,0,0,0.45,432,0,AtRisk,0.2962
IND00037,Gig_Worker,25,Female,Married,Tier3,Diploma,2,Self_Employed,1,14891.0,Seasonal,10789.0,0.0,0.0,Overspend,0.8841,15,0,0,Education_Loan,Vehicle,203000.0,12,444892.0,37445.0,6.0,0,5,4,1,1,Fair,0,1,0.0,0.0,Medium,4.5,0,0,0.3,326,0,AtRisk,0.0631
IND00038,MSME_Owner,49,Male,Married,Tier2,Graduate,4,Business_Owner,23,88455.0,Seasonal,5265.0,20.902267732993803,52081.0,Well_within,0.1237,31,1,0,Education_Loan,Personal,163000.0,60,8283.0,139.0,0.0936,0,4,1,1,0,Fair,0,0,0.0,4.3,Medium,3.9,1,0,0.6,511,0,Emerging,0.4459
IND00039,Retired_Govt,55,Male,Married,Tier2,Postgraduate,1,Retired,31,84302.0,Unstable,0.0,38.17504905944081,45264.0,Overspend,0.8646,20,1,0,None,Business,77000.0,120,11186.0,94.0,0.1327,13,3,3,0,2,Fair,1,0,14917.0,2.6,Low,5.0,1,0,0.15,300,0,AtRisk,0.1486
IND00040,Rural_Farmer,52,Female,Single,Tier2,Below10th,6,Self_Employed,12,31332.0,Seasonal,0.0,3.3448025207778684,1244.0,Overspend,0.7463,23,1,1,Home_Loan,Home,89000.0,180,36629.0,206.0,1.169,28,2,2,0,0,Good,0,1,0.0,1.1,Medium,7.6,0,0,0.9,545,0,Emerging,0.4401
IND00041,Retired_Govt,69,Female,Married,Tier3,Postgraduate,2,Retired,31,66991.0,Stable,0.0,21.186917056492742,51590.0,Just_right,0.3592,10,0,0,Gold_Loan,Education,1063000.0,84,94212.0,1133.0,1.4063,24,3,2,0,0,Excellent,0,1,0.0,4.3,Low,2.8,1,0,0.3,574,1,Emerging,0.565
IND00042,Gig_Worker,34,Female,Married,Tier2,Graduate,5,Self_Employed,10,92893.0,Unstable,0.0,20.079304451320915,57044.0,Just_right,0.5338,38,1,1,Car_Loan,Medical,226000.0,60,16314.0,275.0,0.1756,11,4,2,1,0,Good,0,0,0.0,3.7,Medium,3.3,0,0,0.75,537,0,Emerging,0.4316
IND00043,Homemaker,57,Male,Married,Tier3,10th_12th,2,Homemaker,0,12568.0,Seasonal,16299.0,5.229339424206776,2168.0,Borderline,0.3434,11,1,1,BNPL,NA,658000.0,36,36427.0,1022.0,2.8982,30,2,1,1,0,Good,0,1,0.0,2.3,Medium,5.4,1,0,0.3,510,0,Emerging,0.4693
IND00044,Homemaker,40,Female,Married,Tier2,10th_12th,2,Homemaker,0,15417.0,Stable,10722.0,16.331230344062764,9851.0,Overspend,0.8725,28,1,1,Business_Loan,Medical,627000.0,240,35629.0,150.0,2.3109,1,2,0,0,0,Excellent,0,1,0.0,0.0,Medium,4.5,0,0,0.3,474,0,AtRisk,0.3095
IND00045,Gig_Worker,29,Male,Married,Tier1,Graduate,1,Self_Employed,28,83845.0,Unstable,33141.0,17.645472885687937,43078.0,Just_right,0.2393,46,0,1,Personal_Loan,Home,464000.0,24,78980.0,3324.0,0.942,1,6,1,2,1,Poor,0,0,0.0,0.0,Medium,7.7,1,1,0.45,335,0,AtRisk,0.0752
IND00046,Homemaker,57,Female,Single,Tier2,Below10th,3,Homemaker,0,14603.0,Stable,12315.0,19.714354891524348,8704.0,Well_within,0.3518,23,1,0,Personal_Loan,Business,498000.0,12,96943.0,8159.0,6.0,30,5,2,4,0,Poor,1,1,115509.0,1.7,Medium,4.5,1,0,0.45,445,0,AtRisk,0.2775
IND00047,Urban_Salaried,25,Male,Single,Tier2,Postgraduate,5,Salaried_Private,19,85771.0,Unstable,0.0,8.194355632707266,34589.0,Just_right,0.4336,43,0,1,Home_Loan,Medical,475000.0,12,81632.0,6871.0,0.9517,3,2,2,1,0,Fair,1,0,50747.0,2.0,High,7.8,0,0,0.75,495,0,Emerging,0.4662
IND00048,Rural_Farmer,50,Female,Married,Tier1,10th_12th,3,Self_Employed,13,40976.0,Seasonal,0.0,13.000034788539937,7537.0,Well_within,0.1836,24,1,1,Personal_Loan,Vehicle,174000.0,84,53225.0,640.0,1.2989,21,1,4,0,0,Poor,0,0,0.0,3.4,Medium,7.6,1,0,0.45,482,0,Emerging,0.3804
IND00049,Urban_Salaried,29,Female,Single,Tier1,Postgraduate,2,Salaried_Private,25,167831.0,Stable,2812.0,13.327577950180482,73829.0,Well_within,0.2897,39,1,0,Business_Loan,Vehicle,244000.0,12,7855.0,661.0,0.0468,5,1,1,5,0,Excellent,0,1,0.0,4.3,Medium,6.5,0,0,0.3,533,1,Emerging,0.5365
IND00050,Gig_Worker,49,Male,Married,Tier2,Diploma,2,Self_Employed,7,51347.0,Unstable,15299.0,8.415075203328186,9253.0,Well_within,0.9561517022588044,45,0,0,Car_Loan,Medical,192000.0,48,66160.0,1392.0,1.2885,28,2,1,0,0,Fair,1,0,26056.0,2.6,Medium,2.7,1,1,0.6,483,0,AtRisk,0.332
IND00051,MSME_Owner,38,Male,Married,Tier2,Graduate,3,Business_Owner,11,640950.0,Unstable,0.0,4.756072973870361,141251.0,Borderline,0.4427,26,1,0,Home_Loan,Home,4590000.0,24,20251.0,852.0,0.0316,3,3,2,1,0,Excellent,0,1,0.0,0.0,Medium,9.7,1,0,0.45,573,1,Prime,0.7517
IND00052,Homemaker,42,Female,Married,Tier3,Below10th,6,Homemaker,0,7721.0,Seasonal,0.0,5.624695716312964,868.0,Well_within,0.9880612840189726,7,1,1,None,Vehicle,1013000.0,36,69748.0,1957.0,6.0,0,5,2,5,0,Fair,0,1,0.0,1.5,Low,8.1,1,0,0.9,347,0,AtRisk,0.0263
IND00053,Urban_Salaried,43,Male,Married,Tier2,Graduate,1,Salaried_Private,20,136522.0,Stable,26564.0,11.885152545949117,16948.0,Just_right,0.2367,52,0,0,Gold_Loan,Vehicle,937000.0,240,23448.0,99.0,0.1718,0,3,2,2,0,Good,1,1,9890.0,4.3,Medium,3.0,1,1,0.45,533,0,Emerging,0.4629
IND00054,Rural_Farmer,57,Female,Married,Tier2,Below10th,2,Self_Employed,13,18201.0,Stable,28121.0,16.25412042142421,4103.0,Just_right,0.1981,22,1,1,Car_Loan,NA,49000.0,12,49032.0,4127.0,2.6938,19,5,2,0,0,Fair,1,1,85412.0,4.8,Medium,5.5,0,0,0.3,535,0,AtRisk,0.273
IND00055,Urban_Salaried,27,Male,Married,Tier1,PhD,3,Salaried_Private,1,182794.0,Stable,3309.0,22.01177139930192,93550.0,Well_within,0.1056,42,1,0,None,Personal,391000.0,120,1290.0,11.0,0.0071,0,4,4,1,0,Excellent,0,0,0.0,4.2,High,6.2,1,0,0.45,565,1,Prime,0.7242
IND00056,Retired_Govt,67,Female,Divorced,Tier3,Postgraduate,3,Retired,34,69883.0,Stable,24200.0,29.2197250239066,26114.0,Well_within,0.2099,19,0,0,Business_Loan,Education,124000.0,120,2677.0,23.0,0.0383,30,6,4,5,2,Good,0,1,0.0,3.0,Medium,3.8,1,0,0.45,393,0,AtRisk,0.3217
IND00057,Retired_Govt,57,Male,Married,Tier2,Graduate,1,Retired,37,70524.0,Stable,0.0,26.97554158930044,81041.0,Just_right,0.1492,23,1,1,Personal_Loan,Business,771000.0,120,68794.0,579.0,0.9755,22,2,0,0,0,Good,0,1,0.0,1.9,Medium,4.2,0,0,0.15,603,0,Emerging,0.4641
IND00058,Urban_Salaried,34,Male,Married,Tier2,Postgraduate,5,Salaried_Private,11,122032.0,Stable,14703.0,19.63555076104277,73117.0,Just_right,0.6425,44,1,1,Business_Loan,Education,843000.0,24,110493.0,4650.0,0.9054,6,1,2,1,0,Good,1,1,4568.0,2.7,Medium,5.4,0,0,0.75,498,0,Emerging,0.4358
IND00059,Retired_Govt,65,Female,Single,Tier2,Graduate,2,Retired,27,56308.0,Seasonal,0.0,21.25125002055521,27661.0,Just_right,0.296,29,1,1,Education_Loan,Vehicle,478000.0,36,13167.0,369.0,0.2338,4,6,1,0,0,Poor,0,1,0.0,4.8,Low,3.1,1,1,0.6,476,0,AtRisk,0.366
IND00060,Gig_Worker,30,Female,Married,Tier1,10th_12th,2,Self_Employed,5,152308.0,Unstable,23895.0,11.601316070319408,88084.0,Overspend,0.8021,39,1,0,Personal_Loan,Home,963000.0,240,2602.0,11.0,0.0171,6,2,3,0,0,Poor,1,1,6727.0,1.8,Medium,4.8,0,0,0.3,453,0,AtRisk,0.3161
IND00061,Urban_Salaried,43,Female,Single,Tier2,Postgraduate,0,Salaried_Private,20,179364.0,Seasonal,0.0,22.817877047866485,58274.0,Well_within,0.0856,43,1,0,Personal_Loan,Debt_Consolidation,77000.0,120,86839.0,731.0,0.4841,12,3,2,0,1,Fair,0,1,0.0,3.0,Medium,6.4,1,0,0.0,480,1,Emerging,0.4883
IND00062,MSME_Owner,33,Male,Married,Tier1,Postgraduate,2,Business_Owner,23,144662.0,Seasonal,0.0,7.921293060308319,54859.0,Well_within,0.0498,26,1,0,None,Vehicle,1135000.0,240,2498.0,11.0,0.0173,6,5,2,5,0,Excellent,0,1,0.0,0.3,Medium,4.5,0,0,0.3,549,1,Emerging,0.5378
IND00063,Rural_Farmer,29,Female,Married,Tier2,Below10th,4,Self_Employed,21,38431.0,Seasonal,0.0,14.99475423691253,14595.0,Just_right,0.2169,22,1,0,Personal_Loan,Business,816000.0,120,138679.0,1167.0,3.6084,7,2,2,2,1,Excellent,1,0,655.0,0.0,Low,8.5,1,0,0.6,439,0,AtRisk,0.2215
IND00064,Retired_Govt,57,Male,Married,Rural,Graduate,3,Retired,30,121399.0,Stable,0.0,23.420957432019552,53852.0,Borderline,0.3923,5,1,0,Personal_Loan,Vehicle,1037000.0,48,158103.0,3327.0,1.3023,30,4,5,0,0,Good,0,1,0.0,2.2,Medium,5.0,1,1,0.75,557,0,Emerging,0.3967
IND00065,MSME_Owner,32,Female,Single,Tier1,Graduate,0,Business_Owner,14,280750.0,Seasonal,20890.0,23.552393610447936,101312.0,Just_right,0.2368,13,1,1,Business_Loan,Education,254000.0,60,14583.0,245.0,0.0519,10,8,4,2,0,Fair,1,1,15346.0,0.0,High,6.1,0,0,0.0,557,1,Emerging,0.5708
IND00066,Retired_Govt,59,Female,Married,Tier1,Graduate,2,Retired,33,33731.0,Stable,0.0,18.38037139478427,18918.0,Just_right,0.4317,21,1,1,None,Vehicle,1321000.0,84,4223.0,51.0,0.1252,30,5,3,4,0,Fair,1,0,660714.0,5.2,Medium,2.8,1,0,0.3,517,0,AtRisk,0.3378
IND00067,Retired_Govt,56,Female,Married,Tier3,Postgraduate,1,Retired,28,62894.0,Stable,26727.0,17.021860662602627,13047.0,Borderline,0.3349,8,0,1,Gold_Loan,Debt_Consolidation,137000.0,60,16427.0,277.0,0.2612,14,3,4,0,0,Fair,1,0,376875.0,0.6,Medium,6.3,0,0,0.15,536,1,Emerging,0.5368
IND00068,Urban_Salaried,56,Male,Married,Tier2,Graduate,2,Salaried_Private,23,119608.0,Seasonal,0.0,28.788770499437536,114639.0,Well_within,0.0865,53,1,0,BNPL,Vehicle,219000.0,84,120229.0,1446.0,1.0052,30,2,4,3,0,Poor,0,1,0.0,0.4,Medium,6.3,0,1,0.6,493,0,AtRisk,0.3244
IND00069,Gig_Worker,36,Female,Married,Tier3,Graduate,0,Self_Employed,1,39073.0,Seasonal,7813.0,6.270753191568818,10406.0,Borderline,0.3294,9,1,1,Business_Loan,Home,41000.0,240,87569.0,369.0,2.2411,14,6,3,0,0,Fair,0,1,0.0,0.3,High,9.3,0,0,0.0,474,0,AtRisk,0.2309
IND00070,MSME_Owner,30,Male,Married,Tier2,Postgraduate,2,Business_Owner,17,197762.0,Seasonal,19972.0,21.75147124123668,196573.0,Just_right,0.3974,23,1,1,Home_Loan,NA,636000.0,84,86707.0,1043.0,0.4384,7,4,2,0,0,Good,0,1,0.0,2.0,Low,4.9,0,1,0.6,560,1,Emerging,0.5629
IND00071,MSME_Owner,37,Female,Married,Tier2,Graduate,2,Business_Owner,24,158616.0,Unstable,14896.0,0.0,0.0,Just_right,0.405,31,1,0,Car_Loan,Business,244000.0,180,55203.0,310.0,0.348,10,2,2,0,0,Good,1,1,59788.0,0.0,Medium,2.8,0,0,0.3,517,0,Emerging,0.4579
IND00072,Rural_Farmer,26,Female,Single,Tier2,Below10th,2,Self_Employed,29,28151.0,Stable,10825.0,0.0,0.0,Just_right,0.2127,32,1,1,Home_Loan,Vehicle,349000.0,12,147903.0,12449.0,5.2537,2,2,1,5,0,Excellent,0,1,0.0,0.5,Low,6.7,0,0,0.3,461,0,Emerging,0.4466
IND00073,MSME_Owner,49,Female,Married,Tier1,Graduate,2,Business_Owner,12,68700.0,Seasonal,12030.0,16.038426058189412,30337.0,Overspend,0.7121,32,1,0,Education_Loan,Personal,160000.0,60,546364.0,9197.0,6.0,4,4,2,0,0,Excellent,1,1,99441.0,3.1,Medium,5.1,1,1,0.6,494,0,AtRisk,0.2915
IND00074,MSME_Owner,22,Male,Single,Tier2,Postgraduate,1,Business_Owner,6,100441.0,Unstable,14855.0,14.685311184658325,39972.0,Borderline,0.6535,26,1,0,None,Education,725000.0,12,1375.0,116.0,0.0137,1,5,3,2,0,Good,1,1,51649.0,0.0,Low,5.5,0,1,0.45,455,0,Emerging,0.3854
IND00075,Homemaker,32,Female,Married,Tier3,10th_12th,2,Homemaker,0,16873.0,Stable,32930.0,0.0,0.0,Just_right,0.1696,18,0,1,Gold_Loan,Vehicle,679000.0,240,41055.0,173.0,2.433,6,4,2,1,0,Fair,1,0,2904.0,4.2,Low,3.5,0,0,0.3,475,0,AtRisk,0.3203
